video_id,comment
fFCGtAmse5c,"Thank you for this!  I'm 77rrs old and I really needed the help.  My 'digital Grans and great grans don't come up to the country often, I would be lost if I hadn't found your channel.  You earned my 'subscribe!'    I dropped my A12 and it didn't survive  but this phone is all this old man needs. 🤠"
fFCGtAmse5c,The color reminds me of the Samsung Note 10+ Aura Glow. It's beautiful. The bottom speaker cutout also matches the new S24 series. Anyway great video!
fFCGtAmse5c,I upgraded to this phone from my Samsung A11❤  It's so good alongside with my Tab A9 Plus!
fFCGtAmse5c,It's a good affordable phone for the average person. I think spending lots of money on a phone is dumb.
fFCGtAmse5c,That fact that you can get a phone this good for that price is absolutely insane.
fFCGtAmse5c,That color is beautiful it's like the prism white from the s10 series.
fFCGtAmse5c,Apple should learn a thing or two from a under $200 phone about how to provide higher refresh rate display in their Non-pro line-up 😂
fFCGtAmse5c,"A bit late, but i guess I'll say my opinion. 

The A15 5g is most likely going to be one of Samsung's best selling smartphones, especially after all the upgrades. 

The biggest upgrade with the A15 is the display, no doubt. AMOLED is such a improvement, not just for gamers, but for everyday users alike due to much better color saturation and deeper blacks. The 90Hz also helps. 

Performance wise, the 128GB base storage option is very nice, the chipset ain't going to impress everyone, but its good enough for simple gaming and everyday browsing. 

Design wise, its nice and cool for most people. 

The only thing that turns people away from it is speakers and video, the speaker isn't great, dual speakers is great for music and the fact its capped on 30 fps 1080p video is upsetting. I mean i don't hate the fact that its resolution is 1080p, its just if your going to cap it on FHD, At least give a 60 fps option. 

For the price, its a very good value phone, and will still hold up in the future (Especially compared to the A05)"
fFCGtAmse5c,I will be upgrading to this phone from my tracfone journey LG. Great review.
fFCGtAmse5c,"Yes, I did purposely make this video 15 minutes long *(A15)* My A55 unboxing next week will be 55 minutes long 👀
-----
A15 5G via Amazon: https://geni.us/A15-5g
A15 4G/LTE  via Amazon: https://geni.us/A15-4G-LTE
microSD Card: https://geni.us/EVO-microSD"
fFCGtAmse5c,"Bought this and loving it.

Only thing is I'm not able to have my YouTube notifications pop up on my notifications bar. I've checked all my settings and notifications are allowed .... so"
fFCGtAmse5c,"Working wireless, the budget phones were always the most exciting. Seeing people who cannot afford much get better features each year was nice to see. Especially when Samsung went from the A12 to A13. Phone went from awful to useable. A14 got better and hit 1080p, but now with more ram if you get those models these phones should hopefully be able to just work now."
fFCGtAmse5c,6:24 How are you supposed to listen to calls without a speaker near selfie camera?
fFCGtAmse5c,"Another great vid Wade!

This is such an awesome value... Samsung really killed it this year on the A15.  They did really well in choosing the right trade-offs for most people, while still keeping it at this very affordable price point."
fFCGtAmse5c,It would be nice if you could do a software comparison to more expensive samsung phones. Interested to see what they've omitted.
fFCGtAmse5c,I just ordered one of these the other day switchinf from my 6 year old Motorola that started having issues a couple months ago. I'm so frustrated with! Thank you for this video.
fFCGtAmse5c,"I was going to buy a much more expensive phone but I’m quite happy with this! I’m not gaming, or even phoning much. And I’m usually at home so I can use my home internet with the apps.❤🇨🇦"
fFCGtAmse5c,"This is unrelated but this is what I think a killer S24 FE would be: Even Bezels they don’t have to be that thin kinda like s21 fe side bezels, Snapdragon gen 2, 5000mah, fix that silver ring around the front camera and make it look like the other flagships, also the cameras can be slightly improved but they already are pretty decent. Although I don’t think Samsung would ever do something this ambitious. Overall great video on the A15 5g!"
fFCGtAmse5c,This phone paired with the LG Gram Style 16 laptop is just perfect
fFCGtAmse5c,I'm tempted to buy this as a backup.
fFCGtAmse5c,"Not talking about this phone but still budget Samsung related, I actually have a Galaxy Tab A7 Lite lying around which I got during my early uni years and just days before it received the One UI 6.0 update as well. Mind you it was released back in June 2021 and it still gets OS updates (which I thought One UI Core 5.0 was going to its last update before Samsung forgets about this tablet.) It's a fairly slow device, but with its price it is such a wonderful media consumption device. With 3rd party equalizers the built in speakers are actually nice. When I bought it  I really didnt expect it to be supported for such a long time."
fFCGtAmse5c,History will be made when Samsung finally decides to put punch hole display 😂
fFCGtAmse5c,I'm getting it on April 10th only 1 months so excited
fFCGtAmse5c,This is my phone now and im so inlove with it. ❤
fFCGtAmse5c,This is by far the best easily! And the colour i got mine is the same light blue it's got the ethereal touch
