video_id,comment
DScNdRXsZYU,*What kind of smartphone do you have ???*
DScNdRXsZYU,"Samsung     Redmi
👇                 👇
Like              Subscribe
❤                 💚"
DScNdRXsZYU,"dude how can our msg/suggestion reach out to the brands 
I want to show them that people like us still need(not wish) extremely mini like iPhone 13 mini or maximum iPhone X size today

We want compact phones like iPhone SE or maximum size iPhone X (compact segment) please raise our voice to the market"
DScNdRXsZYU,Samsung A16❤ I like 👍 Samsung  good
DScNdRXsZYU,The phone is Samsung 📲because you back when the person pull the phone the name will rotting
DScNdRXsZYU,I am getting a Samsung A15 in black
DScNdRXsZYU,I just bought it. The blue color
DScNdRXsZYU,"Anyways, iPhone 12, mini"
DScNdRXsZYU,Mai bhi a15 me hi ye reel dhek raha 😂
DScNdRXsZYU,Mere pass bhi yahi hai pur mere me aod nhi hai
DScNdRXsZYU,Kia price hen or use m kesa hy
DScNdRXsZYU,Yo tengo ese mismo en color azul marino
DScNdRXsZYU,Watching vedio from a15 😂
DScNdRXsZYU,А15 за свои деньги топ
DScNdRXsZYU,You mean 2024?
DScNdRXsZYU,اشاهد الفيديو الآن من هذا الهاتف انه رائع❤❤❤
DScNdRXsZYU,I always Wish of having samsung phone but Im so broke that even in my dream cant afford it. Can u send me one?🥺
DScNdRXsZYU,Samsung A15 👍🏻 😊
DScNdRXsZYU,This is my phone A35
DScNdRXsZYU,How much?
DScNdRXsZYU,Eh ki sistem ha veer ji
DScNdRXsZYU,I got this phone today ❤
DScNdRXsZYU,Is this fake like no?
DScNdRXsZYU,This is my awesome phone
DScNdRXsZYU,A55!
DScNdRXsZYU,But why 😂
DScNdRXsZYU,Bhai isme kaha se aod aa gaya hai
DScNdRXsZYU,Bhai order kaise karen
DScNdRXsZYU,♥️♥️♥️♥️♥️♥️♥️👌👌👌👌👌👌
DScNdRXsZYU,I have A25 5g
DScNdRXsZYU,စျေးနှုန်းလေး သိချင်ပါတယ်
DScNdRXsZYU,A35
DScNdRXsZYU,My phone😮
DScNdRXsZYU,What is this back cover named
DScNdRXsZYU,Günde beş kere saatimi çok amin çocuğu ne olur
DScNdRXsZYU,Mujhe bhi lena hai bhai
DScNdRXsZYU,Yo lo tengo y es muy bueno
DScNdRXsZYU,Это не 15 с 16
DScNdRXsZYU,قیمتش چند اس
DScNdRXsZYU,Prize
DScNdRXsZYU,My lovely phone ❤
DScNdRXsZYU,A55 Samsung
DScNdRXsZYU,گوشیممممممممممم🎉🎉🎉
DScNdRXsZYU,"Why is iPhone so best?
Apple has designed a multitude of continuity features that allow you to carry over work and data from one of its devices to another, and these features can certainly save you time. Take Handoff, for example, where calls on your iPhone and web pages in Safari can move seamlessly between iOS and macOS."
DScNdRXsZYU,Samsung
DScNdRXsZYU,Sameee
DScNdRXsZYU,Don't buy this phone o this phone is garbage always lagging it over heats it's very fradgile
DScNdRXsZYU,For favor a15
DScNdRXsZYU,Qiymeti nećedu
DScNdRXsZYU,How to buy this kind of protectors in Uzbekistan ?
DScNdRXsZYU,👍
DScNdRXsZYU,Oka ozbemisiz 🇺🇿🇺🇿
DScNdRXsZYU,A15
DScNdRXsZYU,جرة راوي   امنونلي   الله لتبي
DScNdRXsZYU,"Почему не борятся с Шим, пожалейте наши глаза и мозг"
DScNdRXsZYU,utter nonsense
DScNdRXsZYU,Bu tel dən mən də var pox kimi di tel toba heç kim almasın samsun
DScNdRXsZYU,The name of this coq
